Aktivitetstype,Dato,Favoritt,Tittel,Distanse,Totale kalorier,Tid,Gjennomsnittlig puls,Makspuls,Aerob treningseffekt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Gjennomsnittlig tempo,Beste tempo,Total stigning,Totalt fall,Gjennomsnittlig skrittlengde,Gjennomsnittlig vertikalt forholdstall,Gjennomsnittlig vertikal oscillasjon,Gjennomsnittlig tid med bakkekontakt,Gj.sn. TMB-balanse,Training Stress Score®,Totalt antall tak,Gjennomsnittlig Swolf,Gjennomsnittlig tempo for tak,Skritt,Dekompresjon,Beste rundetid,Antall runder,Tid i bevegelse,Medgått tid,Minste høyde,Maksimal høyde
Løping,2026-08-27 18:47:09,false,"Copenhagen Løping","5,24","291","00:19:52","146","181","3,0","174","182","3:48","3:22","20","18","1,52","--","--","--","--","0,0","--","--","--","3.438","Nei","00:00:54,9","6","00:19:51","00:19:52","5","29"
Løping,2026-08-25 17:51:27,false,"Copenhagen Løping","7,50","432","00:37:13","131","166","2,5","165","233","4:58","3:24","12","16","1,22","--","--","--","--","0,0","--","--","--","6.072","Nei","00:00:34,6","9","00:37:06","00:41:42","8","17"
Løping,2026-08-23 08:12:11,false,"Løping","0,01","--","00:00:10,5","93","94","1,0","118","118","25:38","12:04","--","--","0,33","--","--","--","--","0,0","--","--","--","12","Nei","00:00:10,5","1","00:00:06","00:00:10,5","30","30"
Løping,2026-08-21 09:49:14,false,"Rangárþing Ytra Løping","9,89","958","03:08:17","87","150","1,3","109","226","19:03","9:39","321","275","0,48","--","--","--","--","0,0","--","--","--","14.696","Nei","00:12:04","10","02:18:28","03:09:35","592","832"
Løping,2026-08-20 17:09:14,false,"Rangárþing Ytra Løping","6,86","763","01:56:14","112","167","1,8","118","247","16:57","2:28","195","196","0,50","--","--","--","--","0,0","--","--","--","10.508","Nei","00:12:59","7","01:40:11","01:56:14","591","776"
Basseng,2026-08-18 07:34:45,false,"Basseng","1.500","329","01:03:09","--","--","--","--","--","1:48","1:26","--","--","--","--","--","--","--","0,0","501","36","21","--","Nei","00:00:02,4","36","00:26:01","01:03:55","--","--"
Løping,2026-08-16 13:54:14,false,"Copenhagen Løping","15,40","915","01:25:45","132","156","2,7","166","177","5:34","4:16","51","54","1,08","--","--","--","--","0,0","--","--","--","13.800","Nei","00:02:08,2","16","01:23:37","01:28:02","9","33"
Løping,2026-08-15 13:02:41,false,"Copenhagen Løping","0,38","26","00:02:44,4","115","133","1,1","162","170","7:13","5:37","--","5","0,86","--","--","--","--","0,0","--","--","--","378","Nei","00:02:44,4","1","00:02:19","00:02:44,4","14","20"
Løping,2026-08-14 17:21:20,false,"Copenhagen Løping","7,42","408","00:42:26","121","143","2,0","162","173","5:43","4:55","39","39","1,08","--","--","--","--","0,0","--","--","--","6.844","Nei","00:02:20,0","8","00:42:24","00:50:34","8","25"
Løping,2026-08-11 18:53:33,false,"Rødovre Løping","8,30","483","00:41:03","137","165","3,1","166","233","4:57","3:43","2","2","1,25","7,5","9,6","254","50,8 % V / 49,2 % H","0,0","--","--","--","6.430","Nei","00:00:22,8","17","00:37:59","00:43:08","12","14"
Løping,2026-08-10 19:29:09,false,"Copenhagen Løping","7,51","412","00:40:25","129","141","2,1","163","174","5:23","4:59","14","14","1,14","--","--","--","--","0,0","--","--","--","6.514","Nei","00:02:49,3","8","00:40:13","00:42:36","8","17"
Sykling,2026-07-18 18:32:42,false,"Bergen Sykling","31,14","702","01:02:04","134","163","2,7","--","--","30,1","58,5","327","323","--","--","--","--","--","0,0","--","--","--","--","Nei","00:02:42,2","7","01:01:55","01:03:15","--","80"
Løping,2026-07-18 08:39:01,false,"Bergen Løping","13,87","1.440","01:50:08","151","201","5,0","140","240","7:56","4:19","722","731","0,88","--","--","--","--","0,0","--","--","--","15.154","Nei","00:05:13,2","14","01:47:45","01:54:27","28","560"
Sykling,2026-07-17 17:46:13,false,"Bergen Sykling","21,75","628","00:47:46","144","169","3,3","--","--","27,3","53,9","367","370","--","--","--","--","--","0,0","--","--","--","--","Nei","00:03:50,3","5","00:47:40","00:47:46","54","311"
Løping,2026-07-12 10:16:57,false,"Lom Løping","35,20","3.565","06:15:27","129","173","3,9","139","250","10:40","5:24","1.178","1.412","0,67","--","--","--","--","0,0","--","--","--","46.216","Nei","00:01:55,7","36","05:47:27","08:27:49","1.003","1.636"
Løping,2026-07-11 08:39:50,false,"Vågå Løping","41,27","4.529","09:02:07","126","185","3,8","124","248","13:08","4:36","1.548","1.321","0,61","--","--","--","--","0,0","--","--","--","50.222","Nei","00:00:09,7","44","07:35:32","10:11:24","979","1.766"
Løping,2026-06-30 08:37:34,false,"Copenhagen Løping","6,40","382","00:35:12","123","150","2,0","166","176","5:30","4:53","45","47","1,09","--","--","--","--","0,0","--","--","--","5.810","Nei","00:02:10,2","7","00:35:09","00:37:37","2","40"
Løping,2026-06-28 09:30:17,false,"Hvidovre Løping","21,20","1.568","01:36:20","159","177","5,0","173","226","4:33","4:01","58","61","1,28","7,6","9,9","232","50,7 % V / 49,3 % H","0,0","--","--","--","16.408","Nei","00:00:52,6","22","01:35:37","01:36:45","'-3","13"
Løping,2026-06-27 18:07:24,false,"Copenhagen Løping","3,38","278","00:20:24","138","170","2,7","168","180","6:02","4:21","22","5","0,99","--","--","--","--","0,0","--","--","--","2.918","Nei","00:01:55,7","4","00:17:23","00:21:05","'-9","30"
Løping,2026-06-27 13:12:23,false,"Copenhagen Løping","5,02","336","00:26:19","131","149","2,5","167","175","5:14","4:41","1","17","1,13","8,6","9,7","258","50,9 % V / 49,1 % H","0,0","--","--","--","4.352","Nei","00:00:07,6","6","00:26:13","00:27:06","2","21"
Løping,2026-06-24 17:40:15,false,"Copenhagen Løping","14,68","995","01:15:51","143","170","4,0","165","236","5:10","3:42","65","66","1,16","8,0","9,4","256","50,6 % V / 49,4 % H","0,0","--","--","--","12.240","Nei","00:00:36,6","18","01:14:20","01:20:04","0","65"
Løping,2026-06-20 10:03:05,false,"Oslo Løping","22,16","1.523","02:00:34","143","168","3,4","170","249","5:26","3:51","375","386","1,07","8,6","9,4","255","50,3 % V / 49,7 % H","0,0","--","--","--","10.102","Nei","00:00:49,1","23","02:00:19","02:16:45","43","372"
Løping,2026-06-19 16:42:04,false,"Oslo Løping","12,00","799","01:01:53","144","172","3,9","166","256","5:09","3:35","97","100","1,16","7,8","9,1","254","50,3 % V / 49,7 % H","0,0","--","--","--","9.166","Nei","00:00:10,6","19","01:00:00","01:06:52","44","99"
Løping,2026-06-17 21:07:23,false,"Copenhagen Løping","5,28","362","00:29:35","131","156","2,3","165","214","5:36","4:50","44","42","1,08","--","--","--","--","0,0","--","--","--","4.730","Nei","00:01:42,0","6","00:28:47","00:33:40","13","40"
Løping,2026-06-14 12:38:35,false,"Copenhagen Løping","16,02","1.112","01:21:41","141","176","4,4","169","232","5:06","3:45","105","101","1,14","8,6","9,9","254","50,4 % V / 49,6 % H","0,0","--","--","--","13.714","Nei","00:00:21,0","17","01:21:38","01:29:34","6","28"
Basseng,2026-06-13 11:54:47,false,"Basseng","2.000","479","00:46:56","--","--","--","--","--","1:50","1:26","--","--","--","--","--","--","--","0,0","767","37","21","--","Nei","00:00:02,4","16","00:36:48","00:47:40","--","--"
